Me,CPU,Result
0,1,L
1,2,L
1,0,W
0,2,W
1,0,W
1,2,L
2,2,D
1,2,L
1,0,W
0,2,W
2,0,L
1,2,L
1,1,D
0,1,L
2,1,W
1,0,W
2,0,L
1,2,L
0,1,L
1,2,L
1,0,W
2,2,D
1,1,D
1,1,D
0,1,L
0,2,W
2,2,D
2,2,D
2,2,D
2,0,L
0,0,D
0,2,W
1,1,D
2,2,D
1,1,D
1,1,D
1,1,D
2,2,D
2,0,L
0,2,W
1,1,D
2,0,L
1,1,D
1,1,D
2,2,D
2,1,W
1,0,W
2,1,W
0,0,D
1,2,L
0,2,W
1,0,W
1,0,W
1,0,W
1,2,L
1,1,D
0,2,W
0,1,L
1,1,D
2,1,W
1,0,W
2,1,W
1,2,L
1,0,W
2,0,L
1,0,W
2,1,W
1,2,L
0,2,W
1,0,W
1,0,W
0,0,D
1,2,L
1,0,W
0,1,L
1,0,W
1,0,W
1,1,D
0,0,D
0,1,L
1,2,L
1,1,D
1,2,L
2,2,D
0,0,D
2,0,L
2,0,L
2,1,W
1,0,W
1,1,D
1,1,D
2,0,L
0,1,L
1,2,L
2,0,L
1,1,D
0,1,L
2,2,D
0,2,W
1,2,L
2,1,W
Draw,Win,L
32,35,34
